Rank,Name,Position,School
1, Travis Hunter,WR/CB, Colorado
2, Abdul Carter,ED, Penn State
3, Tetairoa McMillan,WR, Arizona
4, Mason Graham,DI, Michigan
5, Ashton Jeanty,HB, Boise State
6, Will Johnson,CB, Michigan
7, Malaki Starks,S, Georgia
8, Will Campbell,T, LSU
9, James Pearce Jr.,ED, Tennessee
10, Luther Burden III,WR, Missouri
11, Mike Green,ED, Marshall
12, Josh Simmons,T, Ohio State
13, Tyler Warren,TE, Penn State
14, Emeka Egbuka,WR, Ohio State
15, Kelvin Banks Jr.,T, Texas
16, Benjamin Morrison,CB, Notre Dame
17, Cameron Ward,QB, Miami (FL)
18, Mykel Williams,ED, Georgia
19, Walter Nolen,DI, Mississippi
20, Shemar Stewart,ED, Texas A&M
21, Armand Membou,T, Missouri
22, Jack Sawyer,ED, Ohio State
23, Kenneth Grant,DI, Michigan
24, Matthew Golden,WR, Texas
25, Omarion Hampton,HB, North Carolina
26, Grey Zabel,T, North Dakota State
27, Nic Scourton,ED, Texas A&M
28, Tyleik Williams,DI, Ohio State
29, Josh Conerly Jr.,T, Oregon
30, Jahdae Barron,CB, Texas
31, Colston Loveland,TE, Michigan
32, Demetrius Knight Jr.,LB, South Carolina
33, Trey Amos,CB, Mississippi
34, Shavon Revel,CB, East Carolina
35, Donovan Ezeiruaku,ED, Boston College
36, Elic Ayomanor,WR, Stanford
37, T.J. Sanders,DI, South Carolina
38, Jack Bech,WR, TCU
39, Landon Jackson,ED, Arkansas
40, Princely Umanmielen,ED, Mississippi
41, Jihaad Campbell,LB, Alabama
42, Shedeur Sanders,QB, Colorado
43, JT Tuimoloau,ED, Ohio State
44, Xavier Watts,S, Notre Dame
45, Tyler Booker,G, Alabama
46, Cameron Skattebo,HB, Arizona State
47, Omarr Norman-Lott,DI, Tennessee
48, Carson Schwesinger,LB, UCLA
49, Xavier Restrepo,WR, Miami (FL)
50, Darien Porter,CB, Iowa State
51, Aireontae Ersery,T, Minnesota
52, Jalon Walker,LB, Georgia
53, Dylan Sampson,HB, Tennessee
54, Kaleb Johnson,HB, Iowa
55, Kyle Kennard,ED, South Carolina
56, Savion Williams,WR, TCU
57, Jayden Higgins,WR, Iowa State
58, Donovan Jackson,T, Ohio State
59, Derrick Harmon,DI, Oregon
60, Jordan Burch,ED, Oregon
61, Cameron Williams,T, Texas
62, Jared Ivey,ED, Mississippi
63, Ozzy Trapilo,T, Boston College
64, Darius Alexander,DI, Toledo
65, Chris Paul Jr.,LB, Mississippi
66, Wyatt Milum,T, West Virginia
67, Sebastian Castro,S, Iowa
68, Alfred Collins,DI, Texas
69, TreVeyon Henderson,HB, Ohio State
70, Quinshon Judkins,HB, Ohio State
71, Kevin Winston Jr.,S, Penn State
72, Dillon Gabriel,QB, Oregon
73, Jonah Savaiinaea,T, Arizona
74, Jalen Royals,WR, Utah State
75, Gunnar Helm,TE, Texas
76, Maxwell Hairston,CB, Kentucky
77, Lathan Ransom,S, Ohio State
78, Josaiah Stewart,ED, Michigan
79, Jeffrey Bassa,LB, Oregon
80, Elijah Arroyo,TE, Miami (FL)
81, Marcus Mbow,T, Purdue
82, Isaiah Bond,WR, Texas
83, Charles Grant,T, William & Mary
84, Azareye'h Thomas,CB, Florida State
85, Anthony Belton,T, North Carolina State
86, Nick Emmanwori,S, South Carolina
87, Mason Taylor,TE, LSU
88, Tez Johnson,WR, Oregon
89, Devin Neal,HB, Kansas
90, Tre Harris,WR, Mississippi
91, Harold Fannin Jr.,TE, Bowling Green
92, Deone Walker,DI, Kentucky
93, Kaimon Rucker,ED, North Carolina
94, Tate Ratledge,G, Georgia
95, Quandarrius Robinson,ED, Alabama
96, Jalen Milroe,QB, Alabama
97, Andrew Mukuba,S, Texas
98, Mello Dotson,CB, Kansas
