Name,Position,School,Report
Aidan Hutchinson,Edge,Michigan,"Hutchinson is an ultra-productive edge rusher with ideal size, quickness and polish. He stood up this past season in defensive coordinator Mike Macdonald's system at Michigan. As a pass rusher, he has a quick first step and a wide array of hand moves to generate pressures/sacks. Heâs collected wins with dip/rip moves, quick hand swipes, long inside-arm bull rushes and swim moves. He can feel when OTs overset and he is quick to counter inside. He also has the ability to grab and control the wrist of his opponent. He doesnât have elite bend at the top of his rush, but once free, he has an impressive closing burst. In the run game, he holds the point of attack and his effort is nonstop on the backside. Hutchinson isnât in the same class as the Bosa brothers, but heâs not far behind."
Ickey Ekwonu,OT,N.C. State,"Ekwonu is a thick, powerful tackle prospect with a nasty play style. In pass protection, he carries his hands low but he delivers a quick, powerful punch to stun edge rushers. He is quick to kick out and handle speed on the edge, but he's had issues oversetting, resulting in pressures. He can sink his weight and absorb bull rushers. He is at his best in the run game. He rolls his hips on contact and uproots defenders with force. Ekwonu is quick out of his stance on pulls and delivers knockout shots at the second and third levels. He constantly blocks to and through the whistle. He's not a finished product in pass protection, but the tools are all there. Worst-case scenario, he slides inside and becomes a Pro Bowl-caliber guard."
Sauce Gardner,CB,Cincinnati,"Gardner is a tall, long cornerback with elite movement skills and toughness. In press coverage, he uses his length to successfully re-route wideouts. He has abnormal fluidity for such a huge cornerback (6-foot-3, 200 pounds). He can completely open his hips to mirror and match underneath. Heâs rarely out of position, but if it happens, he has an incredible burst to recover. From off coverage, he is fluid and explodes out of his plant and drive. He has natural ball skills; he can find it and play it. His overall awareness is excellent. He is very willing as a run defender and blitzer. Although he'll miss an occasional tackle, the aggressiveness and want-to are easy to identify. Overall, Gardner has a unique skill set for his size, and I see similarities to four-time Pro Bowler Antonio Cromartie coming out of Florida State."
Kyle Hamilton,S,Notre Dame,"Hamilton has rare height (6-4), length and fluidity for the safety position. Against the pass, his versatility is a major asset. He has exceptional instincts from the deep half and his range is off the charts (see: INT vs. Florida State). He eats up ground quickly with his long stride and has the athleticism and speed to mirror tight ends and slot wideouts all over the field. Hamilton is an explosive blitzer from depth. He can find and play the ball with ease. Against the run, his burst and angles to the ball are highly impressive, but he will go low and miss a few tackles. I love his competitiveness and production covering punts. Hamilton has all of the tools to emerge as a Pro Bowler early in his career."
Garrett Wilson,WR,Ohio State,"Wilson is a highly competitive wideout with route polish and excellent run-after-catch ability. He doesn't have elite speed, but gets to his top speed very quickly in the route. He is very crisp at the the top of routes, creating a lot of separation. The Ohio State product makes several plays above the rim and really plays much bigger than his size (6-foot, 188). He does have a few concentration drops, but I believe that is correctable. Wilson is at his best after the catch, as he can make defenders miss, power through tackles or utilize a stiff arm. I love his competitive nature. Overall, Wilson has a complete skill set and reminds me of Stefon Diggs."
Travon Walker,Edge,Georgia,"Walker is a versatile edge defender with exceptional length and athleticism. He primarily aligned on the edge, but played inside, too. As a pass rusher, he isn't ultra-explosive, but he's smooth and powerful. He loves to widen the offensive tackle with his upfield rush before using his inside arm to jolt and walk him back to the QB. He also flashes a quick swipe move to create pressures. He's very disruptive, but he's left some sacks on the field because of missed tackles. The Bulldogs dropped him into coverage quite a bit, and he's made some incredibly athletic plays, including one particular pass breakup versus Florida. Against the run, he dominates with his length and power at the point of attack. He destroys tight ends. I believe Walker's best football is ahead of him."
Evan Neal,OT,Alabama,"Neal is a massive left tackle (6-foot-7, 350 pounds, per school measurements) with strong hands, quick feet and awareness. In the passing game, he has the foot quickness to handle speed rushers. He uses his length to keep his chest clean and has a firm anchor versus power rushers. He can bend his knees and sink his weight, but there are times when he gets too aggressive, lunges and winds up on the ground. In the run game, Neal has strong hands and lower power to generate movement at the point of attack. He has the athleticism to adjust at the second level and in space on screens. Overall, I'd like to see Neal improve his patience and balance, but he has all of the tools to emerge as a frontline starting tackle early in his career."
Drake London,WR,USC,"London is a jumbo-sized wideout with a rare catch radius and outstanding toughness. He has lined up outside and in the slot. He doesn't have ideal speed, but he's very quick off the line and at the top of his route. He is a nuanced route runner, and it's impressive to see how quickly he can get in and out of breaks at his size (6-5, 210). He dominates on 50/50 balls, making spectacular grabs (SEE: Colorado game). London understands how to use his big body to shield off defenders before attacking the ball. After the catch, he seeks out contact and fights for extra yards. He plays with an edge as a blocker, as well. Overall, some will have concern with his lack of top speed, but he reminds me of Mike Williams coming out of Clemson."
Jermaine Johnson II,Edge,Florida State,"Johnson transferred from Georgia to Florida State for his final college season and put up monster numbers for the Seminoles. He has ideal size, length and quickness. As a pass rusher, he has a quick get-off, but he needs to lengthen his stride and gain more ground. He uses his length to snatch/pull tackles (SEE: sack/forced fumble/TD return vs. Clemson) to collect sacks. He also has a steady bull rush to walk tackles back to the quarterback. He does have hip tightness when he gets to the high side of his pass rush. Against the run, he uses his length to keep blockers away from his frame and he sets the edge consistently. He runs well and his effort is very good on the back side. Overall, Johnson should be a three-down player early in his career."
Kayvon Thibodeaux,Edge,Oregon,"Thibodeaux has ideal size (6-5, 258), length and explosiveness. He moved up and down the line of scrimmage in the Ducks' scheme, but primarily stood up on the edge. He shows a tremendous burst off the snap and excels using his inside arm to stab, create space, close and finish. He also has an effective shake/bull move to rock and displace offensive tackles. Thibodeaux does have some ankle tightness at the top of his rush; he isn't an elite bender. Against the run, he easily stacks blocks vs. tackles and tight ends while locating the football. He has speed to close from the back side but his effort is spotty. Overall, Thibodeaux doesn't have ideal flexibility, but his blend of speed and power should translate successfully at next level."
