Name,first_rounder_proba
T.J. Sanders,0.50030565
Travis Hunter,0.48716515
Jihaad Campbell,0.48064122
Kenneth Grant,0.47347486
Armand Membou,0.4573996
Benjamin Morrison,0.45425662
Josh Simmons,0.4476839
Carson Schwesinger,0.4470754
Will Campbell,0.44051868
Matthew Golden,0.43766886
Shedeur Sanders,0.43264368
James Pearce Jr.,0.4255544
Maxwell Hairston,0.4254494
TreVeyon Henderson,0.4166683
Derrick Harmon,0.41487473
Kelvin Banks Jr.,0.4139131
Marcus Mbow,0.4135025
Jalon Walker,0.40199304
Ashton Jeanty,0.4006264
Luther Burden III,0.39296
Tyler Booker,0.38709167
Josaiah Stewart,0.38108805
Emeka Egbuka,0.37915874
Nick Emmanwori,0.3777854
Will Johnson,0.37614352
Donovan Ezeiruaku,0.3760829
Mike Green,0.37336236
Colston Loveland,0.368582
Jack Sawyer,0.36806995
Cam Ward,0.36404836
Joshua Farmer,0.36280707
Omarion Hampton,0.35739642
Tetairoa McMillan,0.3570012
Grey Zabel,0.35630897
Azareye'h Thomas,0.3548964
Shemar Stewart,0.35333052
Mykel Williams,0.35316488
Elijah Arroyo,0.35120022
Mason Graham,0.35076764
Josh Conerly Jr.,0.35047084
Donovan Jackson,0.35006616
Malaki Starks,0.3483011
Jaxson Dart,0.34090734
Jahdae Barron,0.3407613
Walter Nolen,0.33440775
Tyler Warren,0.33410972
Alfred Collins,0.3285299
Abdul Carter,0.31573108
Quinshon Judkins,0.30358532
Mason Taylor,0.29586947
